Xd;Yd;Xu;Yu
746.5171;198.3672;36.0000;29.0000
775.9774;197.2708;37.0000;29.0000
954.7773;191.5187;43.0000;29.0000
984.6070;190.5915;44.0000;29.0000
1014.5766;189.8331;45.0000;29.0000
1044.5739;189.3646;46.0000;29.0000
1074.5517;188.8252;47.0000;29.0000
1254.2927;185.9134;53.0000;29.0000
1284.2895;185.6912;54.0000;29.0000
1313.9995;185.6640;55.0000;29.0000
1344.1270;185.5987;56.0000;29.0000
1373.6153;185.6726;57.0000;29.0000
1551.2933;185.7571;63.0000;29.0000
1580.5788;185.9598;64.0000;29.0000
1609.8377;186.4062;65.0000;29.0000
1639.0762;186.9452;66.0000;29.0000
1668.2880;187.2966;67.0000;29.0000
1841.3911;189.9923;73.0000;29.0000
1869.8937;190.4869;74.0000;29.0000
1898.1029;191.1749;75.0000;29.0000
1926.4588;191.7681;76.0000;29.0000
1954.6063;192.4731;77.0000;29.0000
2120.5206;198.3814;83.0000;29.0000
2147.6980;199.1611;84.0000;29.0000
2174.5582;200.1796;85.0000;29.0000
2201.3423;201.2976;86.0000;29.0000
2228.0573;202.4649;87.0000;29.0000
171.3636;256.6313;16.0000;30.0000
198.9750;255.0665;17.0000;30.0000
367.7729;244.5816;23.0000;30.0000
396.2477;242.8023;24.0000;30.0000
425.1474;241.2663;25.0000;30.0000
453.6952;239.7312;26.0000;30.0000
482.8075;238.5061;27.0000;30.0000
657.7109;230.4842;33.0000;30.0000
687.4239;229.3594;34.0000;30.0000
717.0941;228.2897;35.0000;30.0000
746.3365;227.1292;36.0000;30.0000
775.9086;226.0943;37.0000;30.0000
954.9885;220.2371;43.0000;30.0000
984.8486;219.4650;44.0000;30.0000
1014.7958;218.5879;45.0000;30.0000
1044.9114;217.8109;46.0000;30.0000
1074.7794;217.4633;47.0000;30.0000
1254.8044;215.0377;53.0000;30.0000
1284.9091;214.8192;54.0000;30.0000
1314.7266;214.4614;55.0000;30.0000
1344.7420;214.2658;56.0000;30.0000
1374.4915;214.1909;57.0000;30.0000
1552.3446;214.5520;63.0000;30.0000
1581.6191;214.8692;64.0000;30.0000
1610.9521;215.1500;65.0000;30.0000
1640.2426;215.3873;66.0000;30.0000
1669.5314;215.5190;67.0000;30.0000
1842.5730;218.2181;73.0000;30.0000
1871.2980;218.7696;74.0000;30.0000
1899.6486;219.5522;75.0000;30.0000
1927.8212;220.4180;76.0000;30.0000
1956.2047;220.8112;77.0000;30.0000
